gene,term,description,domain
CHAFR746836.1.1_0056880.1,GO:0008762,UDP-N-acetylmuramate dehydrogenase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056880.1,GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056880.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056880.1,GO:0016614,oxidoreductase activity, acting on CH-OH group of donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056890.1,GO:0005215,transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056890.1,GO:0005886,plasma membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0056890.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0056890.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056910.1,GO:0008496,mannan endo-1,6-alpha-mannosidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056910.1,GO:0016052,carbohydrate catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056910.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056920.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0016310,phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0000160,phosphorelay signal transduction system,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0000156,phosphorelay response regulator activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056940.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0056940.1,GO:0000155,phosphorelay sensor kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056940.1,GO:0004871,signal transducer activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056950.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0056950.1,GO:0005840,ribosome,CELLULAR_COMPONENT
CHAFR746836.1.1_0056950.1,GO:0006412,translation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0056950.1,GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION
CHAFR746836.1.1_0056960.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057220.1,GO:0004339,glucan 1,4-alpha-glucosidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057220.1,GO:0005976,polysaccharide metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057220.1,GO:2001070,starch binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057220.1,GO:0000272,polysaccharide catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057220.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057220.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057220.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057240.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057240.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057240.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057260.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057260.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057290.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057290.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057290.1,GO:0004842,ubiquitin-protein ligase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057290.1,GO:0005680,anaphase-promoting complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0057300.1,GO:0006457,protein folding,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057320.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057320.1,GO:0003993,acid phosphatase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057320.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057350.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057350.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057370.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057380.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057380.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057380.1,GO:0022891,substrate-specific transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057380.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0057380.1,GO:0022857,transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057390.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057390.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057390.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057400.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057400.1,GO:0030246,carbohydrate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057400.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057410.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057430.1,GO:0016747,transferase activity, transferring acyl groups other than amino-acyl groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057430.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057430.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057430.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0057450.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0057450.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000130.1,GO:0004370,glycerol kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000130.1,GO:0006072,glycerol-3-phosphate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000130.1,GO:0016773,phosphotransferase activity, alcohol group as acceptor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000130.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000140.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000140.1,GO:0016747,transferase activity, transferring acyl groups other than amino-acyl groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000140.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000160.1,GO:0046907,intracellular transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000170.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000170.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0000190.1,GO:0000030,mannosyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0000190.1,GO:0006486,protein glycosylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0000190.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0002880.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0002880.1,GO:0006003,fructose 2,6-bisphosphate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0002880.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0002880.1,GO:0004331,fructose-2,6-bisphosphate 2-phosphatase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0002880.1,GO:0003873,6-phosphofructo-2-kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0002880.1,GO:0006000,fructose metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0002890.1,GO:0005741,mitochondrial outer membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0002890.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051420.1,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051420.1,GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051430.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051440.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051440.1,GO:0016747,transferase activity, transferring acyl groups other than amino-acyl groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051440.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051440.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051460.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051460.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051460.1,GO:0016706,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051470.1,GO:0016810,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051480.1,GO:0017111,nucleoside-triphosphatase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051480.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051480.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051490.1,GO:0000502,proteasome complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0051490.1,GO:0042176,regulation of protein catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051490.1,GO:0030234,enzyme regulator activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051490.1,GO:0005488,binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051500.1,GO:0005509,calcium ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051520.1,GO:0006508,proteolysis,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051520.1,GO:0004190,aspartic-type endopeptidase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051530.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0051530.1,GO:0006396,RNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051530.1,GO:0005515,protein binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051530.1,GO:0003723,RNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051540.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051540.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051580.1,GO:0004672,protein kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051580.1,GO:0006468,protein phosphorylation,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051580.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051580.1,GO:0004674,protein serine/threonine kinase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051580.1,GO:0016772,transferase activity, transferring phosphorus-containing groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051590.1,GO:0006914,autophagy,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051600.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051600.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0051640.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051640.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051650.1,GO:0005488,binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051660.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051660.1,GO:0005247,voltage-gated chloride channel activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051660.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051660.1,GO:0006821,chloride transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051660.1,GO:0005216,ion channel activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051660.1,GO:0030554,adenyl nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051680.1,GO:0016758,transferase activity, transferring hexosyl groups,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051680.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051720.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051720.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051730.1,GO:0000981,sequence-specific DNA binding RNA polymerase II transcription factor activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051730.1,GO:0006355,regulation of transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051730.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051730.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0051740.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051760.1,GO:0006511,ubiquitin-dependent protein catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051760.1,GO:0031461,cullin-RING ubiquitin ligase complex,CELLULAR_COMPONENT
CHAFR746836.1.1_0051760.1,GO:0031625,ubiquitin protein ligase binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051770.1,GO:0020037,heme binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051780.1,GO:0005737,cytoplasm,CELLULAR_COMPONENT
CHAFR746836.1.1_0051780.1,GO:0030429,kynureninase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051780.1,GO:0006569,tryptophan catabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051780.1,GO:0009435,NAD biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051780.1,GO:0030170,pyridoxal phosphate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051780.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051780.1,GO:0003824,catalytic activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051800.1,GO:0030418,nicotianamine biosynthetic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051800.1,GO:0030410,nicotianamine synthase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051830.1,GO:0006351,transcription, DNA-dependent,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051830.1,GO:0005634,nucleus,CELLULAR_COMPONENT
CHAFR746836.1.1_0051830.1,GO:0008270,zinc ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051830.1,GO:0003677,DNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051840.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051850.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051850.1,GO:0022857,transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051850.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051850.1,GO:0006810,transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051850.1,GO:0005215,transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051850.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051880.1,GO:0005544,calcium-dependent phospholipid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051880.1,GO:0005509,calcium ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051890.1,GO:0008061,chitin binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051910.1,GO:0008080,N-acetyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051920.1,GO:0016020,membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051920.1,GO:0015171,amino acid transmembrane transporter activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051920.1,GO:0003333,amino acid transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051920.1,GO:0006810,transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051920.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051920.1,GO:0006865,amino acid transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051920.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0051930.1,GO:0008173,RNA methyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051930.1,GO:0006396,RNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051930.1,GO:0008033,tRNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051930.1,GO:0030697,S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0051940.1,GO:0007165,signal transduction,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0051940.1,GO:0005622,intracellular,CELLULAR_COMPONENT
CHAFR746836.1.1_0051970.1,GO:0044237,cellular metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052000.1,GO:0016616,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052000.1,GO:0048037,cofactor binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052000.1,GO:0055114,oxidation-reduction process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052000.1,GO:0055085,transmembrane transport,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052000.1,GO:0016021,integral to membrane,CELLULAR_COMPONENT
CHAFR746836.1.1_0052010.1,GO:0005524,ATP binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052010.1,GO:0046872,metal ion binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052020.1,GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052020.1,GO:0008152,metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052060.1,GO:0003676,nucleic acid binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052060.1,GO:0000166,nucleotide binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052070.1,GO:0016787,hydrolase activity,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052080.1,GO:0006520,cellular amino acid metabolic process,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052080.1,GO:0030170,pyridoxal phosphate binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052110.1,GO:0003723,RNA binding,MOLECULAR_FUNCTION
CHAFR746836.1.1_0052110.1,GO:0006396,RNA processing,BIOLOGICAL_PROCESS
CHAFR746836.1.1_0052110.1,GO:0004525,ribonuclease III activity,MOLECULAR_FUNCTION
